kursbezeichnung          ; Semester 1 ; Semester 2 ; Semester 3        ; Semester 4 ; Semester 5 ; Semester 6
Informatik 2018;;;23.12.2019-27.03.2020;22.06.2020-04.09.2020;30.11.2020-29.01.2021;26.04.2021-30.09.2021
Informatik 2019;23.12.2019-27.03.2020;22.06.2020-30.09.2020;24.12.2020-05.04.2021;28.06.2021-10.09.2021;06.12.2021-28.01.2022;25.04.2022-30.09.2022
Informatik 2020;24.12.2020-05.04.2021;28.06.2021-30.09.2021;24.12.2021-01.04.2022;27.06.2022-09.09.2022;05.12.2022-27.01.2023;24.04.2023-30.09.2023
