kurs;id
TMB20F;8072001
TMB20G;8073001
TMB20HVT;8074001
TMB20KVEM;8075001
TEL17A;7152001
TEL17AAT;7379001
TEL17BAT;7380001
TEL17AET/AEU;7381001
TEL17BET;7382001
TEL17AMD;7383001
TEL18AAT;7425001
TEL18BAT;7426001
TEL18AET;7427001
TEL18AEU;7428001
TEL18AMD;7429001
TEL19A;7752001
TEL19B;7753001
TEL19C;7754001
TEL19D;7755001
TEL19E;7756001
TEL20A;8057001
TEL20B;8058001
TEL20C;8059001
TEL20D;8060001
TEL20E;8061001
WBK17A;7173001
WBK17B;7174001
WBK17C;7175001
WFD17A;7179001
WFD17B;7180001
WBK18A;7388001
WBK18B;7389001
WFD18A;7393001
WFD18B;7394001
WBK19A;7779001
WBK19B;7780001
WFD19A;7781001
WBK20A;8084001
WBK20B;8085001
WWI17SCI;7081001
WWI17AMA;7217001
WWI17AMB;7218001
WWI17AMC;7219001
WWI17SCA;7220001
WWI17SCB;7221001
WWI17SEA;7222001
WWI17SEB;7223001
WWI17SEC;7224001
Pre-WI2018;7368001
WWI18AMA;7458001
WWI18AMB;7459001
WWI18AMC;7460001
WWI18DSA;7461001
WWI18DSB;7462001
WWI18SCA;7463001
WWI18SCB;7464001
WWI18SEA;7465001
WWI18SEB;7466001
WWI18SEC;7467001
Pre-WI2019;7660001
WWI19AMA;7808001
WWI19AMB;7809001
WWI19AMC;7810001
WWI19DSA;7811001
WWI19DSB;7812001
WWI19DSC;7813001
WWI19EG/EH;7814001
WWI19SCA;7815001
WWI19SCB;7816001
WWI19SEA;7817001
WWI19SEB;7818001
WWI20AMA;8117001
WWI20AMB;8118001
WWI20AMC;8119001
WWI20DSA;8120001
WWI20DSB;8121001
WWI20EGEH;8122001
WWI20SCA;8123001
WWI20SCB;8124001
WWI20SEA;8125001
WWI20SEB;8126001
IP(InternationalProgram);6126001
CASMasterkurse;6053001
WilhelmNicole;7627001
TIE19SE;7763001
TIE19EN1;7906001
TIE19EN2;7907001
TIE20EN;8067001
TIE20SE;8068001
IP;6126001
IP (InternationalProgram);6126001
CAS;6053001
Wilhelm Nicole;7627001
